run_id,protocol_version,dataset_sha256,run_seed,layout_index,timestamp_utc,entity_id,entity_name,domain,attribute,ratio,n_docs,strategy,prompt_hash,doc_positions,confidence_condition,distribution_request_assigned,inline_confidence_requested,model_slot,model_provider,model_id,returned_model_ids,question,majority_value,minority_value,claim_a_value,claim_b_value,claim_a_side,claim_b_side,response_categories,primary_api_attempts,primary_format_retries,n_samples,n_scored,n_primary_errors,n_primary_format_errors,n_valid_distributions,distribution_compliance,modal_category,modal_count,conflict_mention_count,conflict_mention_rate,abstention_count,abstention_rate,self_consistency,self_consistency_all_samples,modal_tie,modal_answer,inline_distributions,inline_p_majority,inline_p_minority,inline_p_indeterminate,inline_p_sources_conflict,mean_p_majority,mean_p_minority,mean_p_indeterminate,mean_p_sources_conflict,confidence_best_resolution,posthoc_raw_response,primary_reasoning_tokens,posthoc_reasoning_tokens,reasoning_tokens,posthoc_status,posthoc_skipped,posthoc_api_attempts,posthoc_format_retries,posthoc_prompt_tokens,posthoc_completion_tokens,posthoc_error
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:06:52.267238+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,standard,23aab9c02836799eccf37c8698c21a211d68ba33a644d09bd00a9ea8c0446fbd,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",unanimous_answer_only_plus_posthoc,0,0,gemini,gemini,gemini-3.5-flash,"[""gemini-3.5-flash""]",What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,,,,,"[""MAJ"", ""MAJ"", ""MAJ""]",3,0,3,3,0,0,0,,MAJ,3,0,0.0,0,0.0,1.0,1.0,0,$25,[],[],[],[],[],,,,,100,"```json
{""confidence_best_resolution"": 100}
```","[242, 253, 291]",123,909,completed,0,1,0,353,140,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:06:52.766791+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,standard,23aab9c02836799eccf37c8698c21a211d68ba33a644d09bd00a9ea8c0446fbd,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",unanimous_answer_only_plus_posthoc,0,0,deepseek,openrouter,deepseek/deepseek-v4-flash,"[""deepseek/deepseek-v4-flash""]",What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,,,,,"[""MAJ"", ""MAJ"", ""MAJ""]",3,0,3,3,0,0,0,,MAJ,3,0,0.0,0,0.0,1.0,1.0,0,$25,[],[],[],[],[],,,,,100,"{""confidence_best_resolution"": 100}","[50, 74, 59]",70,253,completed,0,1,0,353,66,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:06:53.466269+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,standard,23aab9c02836799eccf37c8698c21a211d68ba33a644d09bd00a9ea8c0446fbd,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",unanimous_answer_only_plus_posthoc,0,0,claude,openrouter,anthropic/claude-haiku-4.5,"[""anthropic/claude-haiku-4.5""]",What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,,,,,"[""MAJ"", ""MAJ"", ""MAJ""]",3,0,3,3,0,0,0,,MAJ,3,0,0.0,0,0.0,1.0,1.0,0,$25,[],[],[],[],[],,,,,99,"```json
{""confidence_best_resolution"": 99}
```","[181, 186, 186]",351,904,completed,0,1,0,430,359,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:07:10.187954+00:00,E001,Corvane Savings Bank,banking,monthly_fee,3:1,4,standard,3828d080a4fc55c5ed687d9c6a4c98be1ddd1ab4a010b7a5a564ed7fe65202d8,"[""MAJ"", ""MAJ"", ""MAJ"", ""MIN""]",matched_answer_only_plus_posthoc_control,0,0,gemini,gemini,gemini-3.5-flash,"[""gemini-3.5-flash""]",What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$35,$25,MIN,MAJ,"[""MAJ"", ""MAJ"", ""MAJ""]",3,0,3,3,0,0,0,,MAJ,3,0,0.0,0,0.0,1.0,1.0,0,$25,[],[],[],[],[],,,,,100,"```json
{""confidence_best_resolution"": 100}
```","[246, 353, 303]",216,1118,completed,0,1,0,353,233,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:07:13.590289+00:00,E001,Corvane Savings Bank,banking,monthly_fee,3:1,4,standard,3828d080a4fc55c5ed687d9c6a4c98be1ddd1ab4a010b7a5a564ed7fe65202d8,"[""MAJ"", ""MAJ"", ""MAJ"", ""MIN""]",matched_answer_only_plus_posthoc_control,0,0,deepseek,openrouter,deepseek/deepseek-v4-flash,"[""deepseek/deepseek-v4-flash""]",What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$35,$25,MIN,MAJ,"[""MAJ"", ""MAJ"", ""MAJ""]",3,0,3,3,0,0,0,,MAJ,3,0,0.0,0,0.0,1.0,1.0,0,$25,[],[],[],[],[],,,,,100,"{""confidence_best_resolution"": 100}","[318, 91, 51]",274,734,completed,0,1,0,353,254,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:07:13.590419+00:00,E001,Corvane Savings Bank,banking,monthly_fee,3:1,4,standard,3828d080a4fc55c5ed687d9c6a4c98be1ddd1ab4a010b7a5a564ed7fe65202d8,"[""MAJ"", ""MAJ"", ""MAJ"", ""MIN""]",matched_answer_only_plus_posthoc_control,0,0,claude,openrouter,anthropic/claude-haiku-4.5,"[""anthropic/claude-haiku-4.5""]",What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$35,$25,MIN,MAJ,"[""MAJ"", ""MAJ"", ""MAJ""]",3,0,3,3,0,0,0,,MAJ,3,0,0.0,0,0.0,1.0,1.0,0,$25,[],[],[],[],[],,,,,85,"```json
{""confidence_best_resolution"": 85}
```","[260, 250, 243]",421,1174,completed,0,1,0,430,436,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:07:57.956166+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,standard,d97a2c59e3b4c08976f85380bf87199f6b12c0af901b0289267bf068b48a4ad0,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",matched_answer_only_plus_posthoc_control,0,0,gemini,gemini,gemini-3.5-flash,"[""gemini-3.5-flash""]",What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$25,$35,MAJ,MIN,"[""COM"", ""COM"", ""COM""]",3,0,3,3,0,0,0,,COM,3,0,0.0,0,0.0,1.0,1.0,0,$25 or $35,[],[],[],[],[],,,,,100,"```json
{""confidence_best_resolution"": 100}
```","[776, 858, 633]",223,2490,completed,0,1,0,357,240,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:07:59.772213+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,standard,d97a2c59e3b4c08976f85380bf87199f6b12c0af901b0289267bf068b48a4ad0,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",matched_answer_only_plus_posthoc_control,0,0,deepseek,openrouter,deepseek/deepseek-v4-flash,"[""deepseek/deepseek-v4-flash""]",What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$25,$35,MAJ,MIN,"[""MAJ"", ""MAJ"", ""MAJ""]",3,0,3,3,0,0,0,,MAJ,3,0,0.0,0,0.0,1.0,1.0,0,25,[],[],[],[],[],,,,,30,"{""confidence_best_resolution"": 30}","[1694, 736, 1044]",372,3846,completed,0,1,0,352,384,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:08:00.938804+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,standard,d97a2c59e3b4c08976f85380bf87199f6b12c0af901b0289267bf068b48a4ad0,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",matched_answer_only_plus_posthoc_control,0,0,claude,openrouter,anthropic/claude-haiku-4.5,"[""anthropic/claude-haiku-4.5""]",What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$25,$35,MAJ,MIN,"[""MAJ"", ""MAJ"", ""MAJ""]",3,0,3,3,0,0,0,,MAJ,3,0,0.0,0,0.0,1.0,1.0,0,$25,[],[],[],[],[],,,,,50,"```json
{""confidence_best_resolution"": 50}
```

The supplied documents contain conflicting information. Two documents (Documents 1 and 2) state the fee is $35, while two documents (Documents 3 and 4) state the fee is $25. The answer of ""$25"" is supported by exactly half of the sources, including an official Company Newswire source, but it is directly contradicted by the other half of the sources with equal clarity. Without additional context about source recency, authority hierarchy, or when these fees changed, there is no clear basis to determine which answer represents the best resolution of this contradiction.","[593, 574, 552]",459,2178,completed,0,1,0,430,585,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:08:12.193641+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:1,5,standard,bebf3a002d4f7088c4ff9dff6928692bdfdc1af4929010176043aa423876575e,"[""MAJ"", ""MAJ"", ""MIN"", ""MAJ"", ""MAJ""]",matched_answer_only_plus_posthoc_control,0,0,gemini,gemini,gemini-3.5-flash,"[""gemini-3.5-flash""]",What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$35,$25,MIN,MAJ,"[""MAJ"", ""MAJ"", ""MAJ""]",3,0,3,3,0,0,0,,MAJ,3,0,0.0,0,0.0,1.0,1.0,0,$25,[],[],[],[],[],,,,,100,"```json
{""confidence_best_resolution"": 100}
```","[203, 305, 301]",201,1010,completed,0,1,0,412,218,
