run_id,timestamp_utc,entity_id,entity_name,domain,attribute,ratio,n_docs,trial_index,strategy,doc_positions,model_provider,model_id,question,majority_value,minority_value,raw_response,parsed_answer,parsed_confidence,prompt_tokens,completion_tokens,error
c740074a,2026-07-16T22:55:15.155574+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,1,standard,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",gemini,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,315,12,
c740074a,2026-07-16T22:55:18.063611+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,1,standard,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",openrouter,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,319,95,
c740074a,2026-07-16T22:55:18.229214+00:00,E001,Corvane Savings Bank,banking,monthly_fee,3:1,4,1,standard,"[""MAJ"", ""MAJ"", ""MAJ"", ""MIN""]",gemini,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"```json
{""answer"": ""According to most sources (including the Open Encyclopedia Project, Company Newswire, and Regional Business Journal), the monthly maintenance fee is $25, although a forum post on IndustryTalk Forums claims it is $35."", ""confidence"": 5}
```","According to most sources (including the Open Encyclopedia Project, Company Newswire, and Regional Business Journal), the monthly maintenance fee is $25, although a forum post on IndustryTalk Forums claims it is $35.",5,315,59,
c740074a,2026-07-16T22:55:22.214960+00:00,E001,Corvane Savings Bank,banking,monthly_fee,3:1,4,1,standard,"[""MAJ"", ""MAJ"", ""MAJ"", ""MIN""]",openrouter,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,319,206,
c740074a,2026-07-16T22:55:22.215165+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,1,standard,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",gemini,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""The provided documents contain conflicting information, stating that the monthly maintenance fee is either $25 or $35."", ""confidence"": 5}","The provided documents contain conflicting information, stating that the monthly maintenance fee is either $25 or $35.",5,315,33,
c740074a,2026-07-16T22:55:25.746463+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,1,standard,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",openrouter,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 2}",$25,2,319,359,
c740074a,2026-07-16T22:55:32.906073+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:1,5,1,standard,"[""MAJ"", ""MAJ"", ""MIN"", ""MAJ"", ""MAJ""]",gemini,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"```json
{""answer"": ""According to most of the provided sources, the monthly maintenance fee is $25, though one source (Sector Analysis Quarterly) lists it as $35."", ""confidence"": 5}
```","According to most of the provided sources, the monthly maintenance fee is $25, though one source (Sector Analysis Quarterly) lists it as $35.",5,374,47,
c740074a,2026-07-16T22:55:36.868549+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:1,5,1,standard,"[""MAJ"", ""MAJ"", ""MIN"", ""MAJ"", ""MAJ""]",openrouter,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 4}",$25,4,378,94,
c740074a,2026-07-16T22:55:36.868646+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:1,3,1,standard,"[""MAJ"", ""MAJ"", ""MIN""]",gemini,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""The provided documents contain conflicting information: Document 1 and Document 2 state that the fee is $25, while Document 3 states it is $35."", ""confidence"": 5}","The provided documents contain conflicting information: Document 1 and Document 2 state that the fee is $25, while Document 3 states it is $35.",5,262,44,
c740074a,2026-07-16T22:55:40.492857+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:1,3,1,standard,"[""MAJ"", ""MAJ"", ""MIN""]",openrouter,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 3}",$25,3,265,212,
