model_id,ratio,strategy,layout_index,metric,n_answer_only,mean_answer_only,n_requested,mean_requested,mean_difference,standard_error,ci95_low,ci95_high,ci_method
anthropic/claude-haiku-4.5,2:1,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
anthropic/claude-haiku-4.5,2:2,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
anthropic/claude-haiku-4.5,3:1,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
anthropic/claude-haiku-4.5,3:2,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
anthropic/claude-haiku-4.5,4:1,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,2:1,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,2:2,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,3:1,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,3:2,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,4:1,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,2:1,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,2:2,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,3:1,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,3:2,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,4:1,standard,1,primary_api_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
anthropic/claude-haiku-4.5,2:1,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
anthropic/claude-haiku-4.5,2:2,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
anthropic/claude-haiku-4.5,3:1,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
anthropic/claude-haiku-4.5,3:2,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
anthropic/claude-haiku-4.5,4:1,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,2:1,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,2:2,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,3:1,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,3:2,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,4:1,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,2:1,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,2:2,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,3:1,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,3:2,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,4:1,standard,1,primary_format_error_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
